kode_kelurahan,kode_kecamatan,kode_kabupaten,kode_provinsi,name
2002,01,01,11,Ujong Mangki (Ujung Mangki)
2003,01,01,11,Ujong Padang (Ujung Padang)
2004,01,01,11,Gampong Drien (Kampung Drien)
2015,01,01,11,Darul Ikhsan
2016,01,01,11,Padang Beurahan (Padang Berahan)
2017,01,01,11,Gampong Baro (Kampung Baru)
2001,02,01,11,Fajar Harapan
2002,02,01,11,Krueng Batee
2003,02,01,11,Pasi Kuala Asahan
2004,02,01,11,Gunung Pulo (Gunong Pulo)
2005,02,01,11,Pulo Ie I
2006,02,01,11,Jambo Manyang
2007,02,01,11,Simpang Empat
2008,02,01,11,Limau Purut (Kota Fajar)
2009,02,01,11,Pulo Kambing
2010,02,01,11,Kampung Paya
2011,02,01,11,Krueng Batu
2012,02,01,11,Krueng Kluet
2013,02,01,11,Alur Mas
2014,02,01,11,Kampung Tinggi
2015,02,01,11,Ruak (Kampung Ruak)
2016,02,01,11,Simpang Lhee
2017,02,01,11,Suaq Geuringgeng (Geringgeng)
2018,02,01,11,Pasi Kuala Ba'u (Pasi Kuala Bau)
2019,02,01,11,Kedai Padang
2020,02,01,11,Kotafajar
2021,02,01,11,Gunung Pudung
2001,03,01,11,Suaq Bakung (Suaq Bakong)
2002,03,01,11,Rantau Binuang
2003,03,01,11,Barat Daya
2004,03,01,11,Sialang
2005,03,01,11,Kapeh
2006,03,01,11,Pulo Ie
2007,03,01,11,Kedai Runding
2008,03,01,11,Kedai Kandang
2009,03,01,11,Luar (Gampong Luar)
2010,03,01,11,Ujung
2011,03,01,11,Jua
2012,03,01,11,Pasi Meurapat (Pasi Merapat)
2013,03,01,11,Ujung Pasir
2014,03,01,11,Geulumbuk (Gelumbuk)
2015,03,01,11,Pasie Lembang (Pasi Lembang)
2016,03,01,11,Ujung Padang
2017,03,01,11,Indra Damai
2001,04,01,11,Bakau Hulu
2002,04,01,11,Padang Bakau
2003,04,01,11,Manggis Harapan
2004,04,01,11,Pasar Lama
2005,04,01,11,Apha
2006,04,01,11,Ujung Batu
2007,04,01,11,Pawoh
2008,04,01,11,Dalam
2009,04,01,11,Kota Palak
2010,04,01,11,Cacang
2011,04,01,11,Tengah Pisang
2012,04,01,11,Pisang
2013,04,01,11,Hulu Pisang
2014,04,01,11,Tengah Baru
2015,04,01,11,Lembah Baru
2016,04,01,11,Padang Baru
2001,05,01,11,Kuta Buloh II
2002,05,01,11,Kuta Buloh I
2003,05,01,11,Ie/Le Dingen
2004,05,01,11,Drien Jalo
2005,05,01,11,Jambo Papeun
2006,05,01,11,Buket Meuh
2007,05,01,11,Blang Kuala
2008,05,01,11,Rot Teungoh
2009,05,01,11,Alue Baro
2010,05,01,11,Ladang Tuha
2011,05,01,11,Lhok Mamplam
2012,05,01,11,Aron/Arun Tunggai
2013,05,01,11,Blang Teungoh
2014,05,01,11,Blang Bladeh
2015,05,01,11,Ie/Le Buboh
2016,05,01,11,Keude Meukek
2017,05,01,11,Kuta Baro (Abro)
2018,05,01,11,Tanjung Harapan
2019,05,01,11,Labuhan Tarok
2020,05,01,11,Lhok Aman
2021,05,01,11,Alue Meutuah
2022,05,01,11,Ladang Baro
2023,05,01,11,Labuhan Tarok II
2001,06,01,11,Dalam
2002,06,01,11,Subarang
2003,06,01,11,Kuta Baru (Kota Baru)
2004,06,01,11,Gunung Ketek
2005,06,01,11,Ladang Panton Luas
2006,06,01,11,Madat
2007,06,01,11,Alur Seumerah (Alur Simerah)
2008,06,01,11,Tengah
2009,06,01,11,Gunung Cut
2010,06,01,11,Alur Pinang
2011,06,01,11,Kuta Blang
2012,06,01,11,Batee Tunggai
2013,06,01,11,Ujung Tanah
2014,06,01,11,Ujung Kampung
2015,06,01,11,Jilatang
2016,06,01,11,Luar
2017,06,01,11,Lubuk Layu
2018,06,01,11,Suaq Hulu
2019,06,01,11,Tampang
2020,06,01,11,Payonan Gadang
2021,06,01,11,Gadang
2022,06,01,11,Baru
2023,06,01,11,Ladang Kasik Putih
2024,06,01,11,Air Sialang Hilir
2025,06,01,11,Air Sialang Hulu
2026,06,01,11,Air Sialang Tengah
2027,06,01,11,Balai
2028,06,01,11,Arafah
2001,07,01,11,Sikulat
2002,07,01,11,Sawang I
2003,07,01,11,Meuligo
2004,07,01,11,Lhok Pawoh
2005,07,01,11,Sawang II
2006,07,01,11,Ujung Karang
2007,07,01,11,Trieng Meuduro Baroh
2008,07,01,11,Trieng Meuduro Tunong
2009,07,01,11,Panton Luas
2010,07,01,11,Simpang Tiga
2011,07,01,11,Kuta Baro
2012,07,01,11,Blang Geulinggang (Gelinggang)
2013,07,01,11,Mutiara
2014,07,01,11,Ujung Padang
2015,07,01,11,Sawang Ba'u (Sawang Bau)
2001,08,01,11,Lhok Keutapang (Ketapang)
2002,08,01,11,Hilir
2003,08,01,11,Padang
2004,08,01,11,Hulu
2005,08,01,11,Jambo Apha
2006,08,01,11,Tepi Air
2007,08,01,11,Pasar
2008,08,01,11,Lhok Bengkuang
2009,08,01,11,Panton Luas
2010,08,01,11,Gunung Kerambil
2011,08,01,11,Air Berundang (Air Berudang)
2012,08,01,11,Batu Itam
2013,08,01,11,Panjupian
2014,08,01,11,Lhok Rukam
2015,08,01,11,Air Pinang
2016,08,01,11,Lhok Bengkuang Timur
2001,09,01,11,Keude Trumon
2002,09,01,11,Ujong/Ujung Tanoh
2003,09,01,11,Sigleng (Singleng)
2004,09,01,11,Ie Meudama
2005,09,01,11,Tuepin Tinggi (Tepin / Teupin Tinggi)
2006,09,01,11,Kuta Baro/Baru
2007,09,01,11,Panton Bilie
2012,09,01,11,Kuta Padang
2013,09,01,11,Raket
2014,09,01,11,Gampong Teungoh
2015,09,01,11,Seuneubok Jaya (Seunabok Jaya)
2016,09,01,11,Padang Harapan
2001,10,01,11,Ladang Teungoh
2002,10,01,11,Pucuk/Pucok Krueng
2003,10,01,11,Silolo
2004,10,01,11,Kampung/Kampong Baru
2005,10,01,11,Panton Bili
2006,10,01,11,Paya Ateuk (Payateuk)
2007,10,01,11,Ladang Tuha
2008,10,01,11,Mata Le/Ie
2009,10,01,11,Ujung Batee/Batu
2010,10,01,11,Lhok Sialang Cut
2011,10,01,11,Seuneubok (Seunebok / Si Neubok)
2012,10,01,11,Ie/Le Mirah
2013,10,01,11,Pasi/Pasie Rasian
2014,10,01,11,Ujung Padang Rasian
2015,10,01,11,Krueng Kalee (Krueng Kelee)
2016,10,01,11,Lhok Sialang Rayeuk
2017,10,01,11,Gampong Baro (Kampung / Kampong Baro)
2018,10,01,11,Teupin Gajah
2019,10,01,11,Ujung Padang Asahan
2020,10,01,11,Pulo Ie Ii
2021,10,01,11,Pante Raja
2001,11,01,11,Tengah Peulumat
2002,11,01,11,Paya Peulumat
2003,11,01,11,Padang Peulumat
2004,11,01,11,Aur Peulumat
2005,11,01,11,Limau Saring
2006,11,01,11,Beutong
2007,11,01,11,Peuneulop (Peunalop)
2008,11,01,11,Gunung Rotan
2009,11,01,11,Keumumu Hilir
2010,11,01,11,Keumumu Hulu
2011,11,01,11,Keumumu Seberang
2012,11,01,11,Sawang Indah
2001,12,01,11,Tutong
2002,12,01,11,Teungoh Iboh (Tengah Lboh / Iboh)
2003,12,01,11,Peulokan
2004,12,01,11,Kuta Lboh/Iboh
2005,12,01,11,Ujung Padang
2006,12,01,11,Blang Baru
2007,12,01,11,Blang Poroh
2008,12,01,11,Pulo Ie
2009,12,01,11,Suak Lokan
2010,12,01,11,Iku Lhueng (Iku Lhung)
2011,12,01,11,Kuta Trieng
2012,12,01,11,Pante Geulima
2013,12,01,11,Panton Pawoh
2014,12,01,11,Batee Meucanang
2015,12,01,11,Panton Rubek
2001,13,01,11,Koto (Koto Menggamat)
2002,13,01,11,Alur Keujrun
2003,13,01,11,Jambo Papan
2004,13,01,11,Malaka
2005,13,01,11,Koto Indarung
2006,13,01,11,Siurai-Urai
2007,13,01,11,Kampung Sawah
2008,13,01,11,Kampung Padang
2009,13,01,11,Pulo Air
2010,13,01,11,Lawe Melang
2011,13,01,11,Mersak
2012,13,01,11,Simpang Dua
2013,13,01,11,Simpang Tiga
2001,14,01,11,Paya Dapur
2002,14,01,11,Sapik
2003,14,01,11,Alai
2004,14,01,11,Durian Kawan
2005,14,01,11,Lawe Sawah
2006,14,01,11,Lawe Buluh Didi
2007,14,01,11,Pucuk Lembang
2008,14,01,11,Paya Laba
2009,14,01,11,Lawe Cimanok
2001,15,01,11,Pasie Seubadeh
2002,15,01,11,Ladang Rimba
2003,15,01,11,Ujung Pulo Rayeuk
2004,15,01,11,Sawah Tingkeum
2005,15,01,11,Simpang
2006,15,01,11,Ujung Pulo Cut
2008,15,01,11,Seulekat (Seuleukat)
2005,16,01,11,Pinto Rimba
2006,16,01,11,Krueng Luas
2007,16,01,11,Jambo Dalem
2008,16,01,11,Kapa Sesak (Kapai Seusak)
2009,16,01,11,Seuneubok Punto (Seuneubok Puntho)
2010,16,01,11,Seuneubok Pusaka
2011,16,01,11,Alur Bujok
2012,16,01,11,Titi Poben
2001,17,01,11,Buket Gadeng (Bukit Gading / Buket Gedeng)
2002,17,01,11,Rambong
2003,17,01,11,Seuneubok Keuranji (Seunebok Keranji)
2004,17,01,11,Seuneubok Alur Buloh (Seneubok Alur Bulah)
2005,17,01,11,Ujong Tanoh (Ujung Tanoh)
2006,17,01,11,Ujong Gunong Cut (Ujung Gunung Cut)
2007,17,01,11,Ujong Gunung Rayeuk (Ujung Gunong Rayek)
2008,17,01,11,Beutong
2009,17,01,11,Jambo Keupok/Keuphok
2010,17,01,11,Alurduamas (Alur Dua Mas)
2001,18,01,11,Ladang Rimba
2002,18,01,11,Gunong Kapo/Kapho
2003,18,01,11,Gampong Teungoh (Kampong Teungoh)
2004,18,01,11,Krueng Batee
2005,18,01,11,Pulo Paya
2006,18,01,11,Jambo Papeun
2007,18,01,11,Cot Bayu
2008,18,01,11,Naca
2009,18,01,11,Ie Jeureuneh
2010,18,01,11,Lhok Raya
2001,01,02,11,Engkeran
2002,01,02,11,Rumah Kampung
2004,01,02,11,Pasir Bangun
2006,01,02,11,Kubu
2007,01,02,11,Lawe Kongker (Lawe Konker / Kongkir)
2008,01,02,11,Kuta Cingkam II
2009,01,02,11,Muara Baru
2011,01,02,11,Kuta Batu I
2012,01,02,11,Kuta Cingkam I
2013,01,02,11,Kuta Batu II
2014,01,02,11,Lawe Sempilang
2015,01,02,11,Perapat Batu Nunggul
2016,01,02,11,Pulo Sepang
2017,01,02,11,Rih Mbelang (Mebelang)
2018,01,02,11,Kute Batu Baru (Kuta Batu Baru)
2019,01,02,11,Darul Amin
2020,01,02,11,Lawe Lubang Indah
2021,01,02,11,Batu Hamparan
2022,01,02,11,Paye Munje
2023,01,02,11,Pulo Ndapdap (Pulo Ndadap)
2024,01,02,11,Pasir Nunggul
2025,01,02,11,Cingkham Mekhanggun
2026,01,02,11,Pintu Khimbe
2027,01,02,11,Lawe Kongker Hilir (Lawe Konker Hilir)
2028,01,02,11,Pulo Gadung
2029,01,02,11,Pasikh Pehkmate (Pasikh Pekhmate)
2030,01,02,11,Pasikh Nunang
2031,01,02,11,Deleng Kukusen
2001,02,02,11,Bukit Merdeka
2002,02,02,11,Darul Aman
2003,02,02,11,Lawe Kesumpat
2004,02,02,11,Lawe Tua Gabungan
2005,02,02,11,Lawe Sigala II
2006,02,02,11,Lawe Sigala Timur
2007,02,02,11,Lawe Sigala Barat
2008,02,02,11,Suka Damai
2009,02,02,11,Kute/Kuta Tengah
2010,02,02,11,Tanah Baru
2011,02,02,11,Kedataran Gabungan
2012,02,02,11,Gabungan Parsaroan (Gabungan Parsaoran)
2013,02,02,11,Lawe Loning Gabungan
2014,02,02,11,Lawe Loning Aman
2015,02,02,11,Suka Maju
2016,02,02,11,Lawe Tua Makmur
2017,02,02,11,Lawe Tua Persatuan
2018,02,02,11,Lawe Serke
2019,02,02,11,Lawe Rakat
2020,02,02,11,Suka Jaya
2021,02,02,11,Enmiya Batu Dua Ratus (Enmya Batu Dua Ratus)
2022,02,02,11,Sebungke
2023,02,02,11,Bukit Sepakat
2024,02,02,11,Lawe Loning Sepakat
2025,02,02,11,Lawe Loning I
2026,02,02,11,Gaya Jaya
2027,02,02,11,Gelah Musara
2028,02,02,11,Mulie Dame (Mulie Damai)
2029,02,02,11,Lawe Loning Hakhapen
2030,02,02,11,Karya Indah
2031,02,02,11,Kayu Mbelin
2032,02,02,11,Lawe Sigala Barat Jaya
2033,02,02,11,Lawe Pekhidinen
2034,02,02,11,Kertimbang
2035,02,02,11,Ndauh Nitenggo
2001,03,02,11,Bambel Gabungan
2002,03,02,11,Kisam
2005,03,02,11,Lawe Hijo
2006,03,02,11,Pinding
2009,03,02,11,Terutung Megara Asli
2011,03,02,11,Biak Muli
2012,03,02,11,Kute Lang Lang
2013,03,02,11,Pedesi
2014,03,02,11,Terutung Payung Hulu
2015,03,02,11,Terutung Payung Hilir
2016,03,02,11,Tualang Sembilar
2017,03,02,11,Kuning I
2018,03,02,11,Kuning II
2019,03,02,11,Cinta Damai
2020,03,02,11,Likat
2021,03,02,11,Rikit
2023,03,02,11,Bambel
2025,03,02,11,Lawe Kihing
2026,03,02,11,Terutung Seperai
2027,03,02,11,Kute Seri
2028,03,02,11,Kuta Antara (Kute Antara)
2029,03,02,11,Pulo Perengge
2031,03,02,11,Pulo Kendondong (Pulo Kedondong)
2033,03,02,11,Pancakh Iman
2034,03,02,11,Biak Muli Baru (Biak Muli Bakhu)
2035,03,02,11,Biak Muli Pantai Raja
2036,03,02,11,Biak Muli Sejahtera
2037,03,02,11,Lembah Haji
2038,03,02,11,Terutung Payung Gabungan
2039,03,02,11,Lawe Hijo Metuah
2040,03,02,11,Ampera
2041,03,02,11,Tembilakh Mbakhu (Tembilakh Bakhu)
2042,03,02,11,Kute Lang Lang Bakhu
2001,04,02,11,Kota Kutacane
2002,04,02,11,Perapat Hilir
2003,04,02,11,Perapat Hulu
2004,04,02,11,Muara Lawe Bulan
2005,04,02,11,Mbarung
2006,04,02,11,Batu Mbulan Asli
2007,04,02,11,Batu Mbulan I
2008,04,02,11,Batu Mbulan II
2009,04,02,11,Kampung Raja
2010,04,02,11,Pulonas
2011,04,02,11,Kampung Melayu Gabungan
2012,04,02,11,Terutung Pedi
2013,04,02,11,Kute Rih
2014,04,02,11,Gumpang Jaya
2015,04,02,11,Pulo Latong
2016,04,02,11,Kutacane Lama
2017,04,02,11,Batu Mbulan Mbaru (Batum Bulan Baru)
2018,04,02,11,Pulo Peding
2019,04,02,11,Mendabe
2020,04,02,11,Ujung Barat
2021,04,02,11,Pekhapat Titi Panjang (Perapat Titi Panjang)
2022,04,02,11,Pekhapat Sepakat (Perapat Sepakat)
2023,04,02,11,Alas Marantcar (Alas Memancar)
2024,04,02,11,Batu Mbulan Sepakat
2025,04,02,11,Pulo Sanggakh
2026,04,02,11,Melayu I
2027,04,02,11,Mbarung Datuk Saudane (Mburung Datuk Sekhudane)
2005,05,02,11,Salang Alas
2009,05,02,11,Kuta/Kute Pasir
2011,05,02,11,Purwodadi
2012,05,02,11,Kuta/Kute Tinggi
2013,05,02,11,Kampung Baru
2014,05,02,11,Peranginan
2015,05,02,11,Natam
2025,05,02,11,Kumbang Jaya
2026,05,02,11,Kumbang Indah
2027,05,02,11,Natam Baru
2029,05,02,11,Deleng Megakhe
2030,05,02,11,Lawe Bekung
2031,05,02,11,Lawe Bekung Tampahan
2032,05,02,11,Badar Indah
2033,05,02,11,Batu Mbekhong (Batu Mberong)
2034,05,02,11,Tanah Merah
2035,05,02,11,Tanoh Megakhe
2036,05,02,11,Lawe Sekerah (Lawe Sekekhah)
2001,06,02,11,Pardomuan II
2002,06,02,11,Lawe Desky/Deski I
2003,06,02,11,Lawe Desky Sabas
2004,06,02,11,Pardomuan I
2005,06,02,11,Cinta Damai
2006,06,02,11,Pardamean
2007,06,02,11,Lawe Desky Tongah
2008,06,02,11,Kute Bakti
2010,06,02,11,Muara Situlen
2011,06,02,11,Sejahtera
2012,06,02,11,Kute Makmur
2013,06,02,11,Pardamean
2014,06,02,11,Lawe Mantik
2015,06,02,11,Cinta Makmur
2016,06,02,11,Muara Setia
2017,06,02,11,Tanoh Alas
2018,06,02,11,Sejahtera Baru
2024,06,02,11,Lawe Tawakh
2025,06,02,11,Sabilussalam (Sibulussalam)
2026,06,02,11,Lawe Desky Jaya
2027,06,02,11,Pintu Alas
2001,07,02,11,Gulo
2002,07,02,11,Pulo Piku
2003,07,02,11,Terutung Kute
2004,07,02,11,Kute Ujung
2005,07,02,11,Lawe Stul/Setul
2006,07,02,11,Kite Merangun (Kitei Meranggun)
2007,07,02,11,Mamas
2008,07,02,11,Tanjung Lama
2009,07,02,11,Tanjung Muda
2010,07,02,11,Rambung Teldak
2011,07,02,11,Tanjung Aman
2012,07,02,11,Sri Muda (Serimuda)
2013,07,02,11,Ujung Baru
2014,07,02,11,Kute Rambe
2015,07,02,11,Mamas Baru
2016,07,02,11,Rambung Jaya
2017,07,02,11,Makmur Jaya
2018,07,02,11,Darul Makmur
2019,07,02,11,Tanjung Bakhu (Tanjung Mbakhu)
2020,07,02,11,Pulo Gabung (Pulo Gadung)
2021,07,02,11,Kokhtan Jaya
2022,07,02,11,Istiqamah (Istiqomah)
2023,07,02,11,Lawe Mamas Indah
2024,07,02,11,Tanjung Leuser
2025,07,02,11,Simpang Empat Tanjung
2026,07,02,11,Lawe Pinis
2027,07,02,11,Buntul Kendawi
2028,07,02,11,Kuning Abadi
2001,08,02,11,Pasir Gala
2002,08,02,11,Pasir Penjengakan
2003,08,02,11,Kutambaru (Kutem Baru)
2004,08,02,11,Lawe Sagu Hulu
2005,08,02,11,Lawe Sagu Hilir
2006,08,02,11,Kute Bantil
2011,08,02,11,Lawe Kolok
2012,08,02,11,Lawe Rutung
2013,08,02,11,Kampung Nangka
2014,08,02,11,Tenembak Juhar
2015,08,02,11,Simpang Empat
2016,08,02,11,Kuta Buluh Botong
2017,08,02,11,Katambaru Becawan (Katembaru Bencawan)
2018,08,02,11,Lawe Kinge
2019,08,02,11,Kandang Mbelang Mandiri
2020,08,02,11,Mbacang Racun
2021,08,02,11,Telaga Mekar
2023,08,02,11,Pulonas Baru
2025,08,02,11,Kuta Genting
2026,08,02,11,Lawe Sagu Baru
2027,08,02,11,Lawe Sagu
2028,08,02,11,Pekhapet Timur (Pekhapat Timur)
2029,08,02,11,Bahagia
2030,08,02,11,Kute Galuh Asli (Kuta Galuh Asli)
2001,09,02,11,Kute Lengat Pangan (Kuta Lengat Pagan)
2002,09,02,11,Kute Lengat Selian (Kuta Lengat Selian)
2003,09,02,11,Tualang Baru
2004,09,02,11,Alur Buluh (Kuta Buluh)
2005,09,02,11,Maha Singkil
2006,09,02,11,Tenembak Bintang
2007,09,02,11,Kute Lingga (Kuta Lingga)
2008,09,02,11,Rikit Bur
2010,09,02,11,Kerukunan
2011,09,02,11,Lawe Dua (Lawe Dua Gabungan)
2012,09,02,11,Rema
2013,09,02,11,Bambel Baru
2014,09,02,11,Pejuang
2015,09,02,11,Darussalam
2016,09,02,11,Amaliah
2017,09,02,11,Sebudi Jaya
2018,09,02,11,Gumpang
2019,09,02,11,Kute Gekhat
2020,09,02,11,Paye Khambung (Paya Khambung)
2021,09,02,11,Mbak Sako
2022,09,02,11,Darul Imami
2023,09,02,11,Rikit Bur II
2024,09,02,11,Kute Empat Lima
2001,10,02,11,Simpang Semadam
2002,10,02,11,Semadam Awal
2003,10,02,11,Semadam Asal
2004,10,02,11,Lawe Kinga Gabungan
2005,10,02,11,Lawe Kinga Tebing Tinggi
2006,10,02,11,Kebun Sere
2007,10,02,11,Lawe Beringin Horas
2008,10,02,11,Lawe Berigin Gayo
2009,10,02,11,Suka Makmur
2010,10,02,11,Pasar Puntung
2011,10,02,11,Titi Pasir
2012,10,02,11,Lawe Petanduk I
2013,10,02,11,Ngkeran Alur Buluh
2014,10,02,11,Kampung Baru
2015,10,02,11,Sepakat Segenap (Sepakat Segenep)
2016,10,02,11,Selamat Indah
2017,10,02,11,Lawe Kinge Lapter (Lawe Kinga Lapter)
2018,10,02,11,Lawe Mejile (Lawe Menjilai)
2019,10,02,11,Lawe Petanduk-II
2004,11,02,11,Titi Mas
2005,11,02,11,Meranti
2006,11,02,11,Kuta/Kute Lang-Lang
2007,11,02,11,Lawe Sumur
2008,11,02,11,Pardamaian (Perdamean)
2009,11,02,11,Salim Pipit
2010,11,02,11,Penguhapan
2011,11,02,11,Lumban Tua
2012,11,02,11,Mutiara Damai
2013,11,02,11,Dolok Nauli
2014,11,02,11,Tuhi Jongkat
2015,11,02,11,Uning Sigugur
2016,11,02,11,Lumban Sitio-Tio
2017,11,02,11,Lawe Malum
2018,11,02,11,Alur Baning
2019,11,02,11,Lingga Alas (Lingge Alas)
2020,11,02,11,Khambung Tumbung (Khambung Tubung)
2021,11,02,11,Tuah Mesade
2022,11,02,11,Sumukh Alas
2023,11,02,11,Alukh Bakhu
2024,11,02,11,Sepekhinding
2025,11,02,11,Tanoh Subukh
2026,11,02,11,Pinggan Mbelang
2027,11,02,11,Sigai Indah
2028,11,02,11,Ukekh Deleng
2029,11,02,11,Alas Mesikhat
2030,11,02,11,Titi Hakhapen (Titai Hakhapen)
2001,12,02,11,Aunan Sepakat
2002,12,02,11,Lawe Penanggalan
2003,12,02,11,Lawe Mengkudu
2004,12,02,11,Jambur Lak Lak
2005,12,02,11,Simpang Tiga Jongar (Simpang III Jongar)
2006,12,02,11,Jongar Asli (Jongar)
2007,12,02,11,Ketambe
2008,12,02,11,Rumah Bundar
2009,12,02,11,Penyeberangan Cingkam
2010,12,02,11,Deleng Damar
2011,12,02,11,Bintang Bener
2012,12,02,11,Suka Rimbun
2013,12,02,11,Lawe Aunan
2014,12,02,11,Bener Bepapah (Bener Mepapah)
2015,12,02,11,Penungkunen
2016,12,02,11,Datok Pining
2017,12,02,11,Kati Maju
2018,12,02,11,Leuser (Louser)
2019,12,02,11,Jati Sara (Jati Rasa)
2020,12,02,11,Bukit Mbakhu
2021,12,02,11,Kayu Metangur (Kayu Mentangur)
2022,12,02,11,Lawe Sembekan
2023,12,02,11,Lawe Beringin (Lawe Bekhingin)
2024,12,02,11,Lawe Ger Ger
2025,12,02,11,Simpur Jaya
2001,13,02,11,Salang Baru
2002,13,02,11,Ranto Dior/Diur
2003,13,02,11,Lembah Alas
2004,13,02,11,Tenembak/Tenebak Lang-Lang
2005,13,02,11,Salang Sigotom
2006,13,02,11,Tualang Lama
2007,13,02,11,Gusung Batu
2008,13,02,11,Kaya Pangur
2009,13,02,11,Sepakat
2010,13,02,11,Lawe Pangkat
2011,13,02,11,Bunga Melur (Bunga Melur Gabungan)
2012,13,02,11,Penampaan
2013,13,02,11,Terutung Mbelang
2014,13,02,11,Salang Muara
2015,13,02,11,Lawe Hakhum
2016,13,02,11,Tanoh Khukahen
2017,13,02,11,Tading Ni Ulihi (Tading Niulihi)
2018,13,02,11,Peseluk Pesimbe (Pesuluk Pesimbe)
2019,13,02,11,Kane Lot
2020,13,02,11,Muhajirin
2021,13,02,11,Beriring Naru
2022,13,02,11,Kati Jeroh
2001,14,02,11,Terutung Megara Lawe Pasaran
2002,14,02,11,Kisam Gabungan (Kisam)
2003,14,02,11,Kisam Kute Pasir
2004,14,02,11,Lawe Sumur
2005,14,02,11,Lawe Sumur Baru
2006,14,02,11,Kute Lesung
2007,14,02,11,Berandang
2008,14,02,11,Kute Bunin
2009,14,02,11,Buah Pala
2010,14,02,11,Panosan (Penosan)
2011,14,02,11,Tengku Mbelin (Lawe Pasaran Tengku Mbelin)
2012,14,02,11,Terutung Megahke MBakhu (Terutung Megakhe Bakhu)
2013,14,02,11,Kisam Lestari
2014,14,02,11,Kisam Kute Rambe
2015,14,02,11,Lawe Polak
2016,14,02,11,Lawes Sumur Sepakat (Lawe Sumur Sepakat)
2017,14,02,11,Setia Baru
2018,14,02,11,Teger Miko
2001,15,02,11,Salim Pinim I / Satu (Salim Pinim)
2002,15,02,11,Jambur Damar
2003,15,02,11,Alur Langsat
2004,15,02,11,Rambah Sayang
2006,15,02,11,Rumah Luar
2007,15,02,11,Tenembak Alas
2008,15,02,11,Lawe Tungkal
2009,15,02,11,Salim Pinim II
2010,15,02,11,Jambukh Pekhmate
2011,15,02,11,Khutung Mbelang
2012,15,02,11,Timang Rasa (Timang Khase)
2013,15,02,11,Stambul Jaya
2014,15,02,11,Alur Nangke (Alukh Nangke)
2015,15,02,11,Kute Mejile
2001,16,02,11,Bintang Alga Musara
2002,16,02,11,Bintang Bukit Indah (Bukit Bintang Indah)
2003,16,02,11,Tanjung Sari
2004,16,02,11,Bun-bun Alas (Bunbun Alas)
2005,16,02,11,Naga Timbul
2006,16,02,11,Gunung Pak-Pak
2007,16,02,11,Bukit Meriah (Bukit Mekhiah)
2008,16,02,11,Permata Musara
2009,16,02,11,Laut Tawar
2010,16,02,11,Kane Mende
2011,16,02,11,Lawe Sekhakut
2012,16,02,11,Bunbun Indah (Bunbun Indah War)
2013,16,02,11,Suka Damai
2014,16,02,11,Tuah Kekhine (Tanah Khekhine)
2015,16,02,11,Punce Nali
2016,16,02,11,Sade Ate
2017,16,02,11,Akhih Majile
2018,16,02,11,Ukhat Peseluk
2019,16,02,11,Tunas Mude
2020,16,02,11,Gaye Sendah
2021,16,02,11,Kute Hakhapen (Hakhapen)
2022,16,02,11,Kompas
2023,16,02,11,Sepakat
2001,01,03,11,Alue Luddin Sa (Alur Ludin I / Satu)
2002,01,03,11,Alue Luddin Dua (Alur Ludin II / Dua)
2003,01,03,11,Alue Dalam
2004,01,03,11,Dama Pulo Sa (Dama Pulo I)
2005,01,03,11,Dama Pulo Dua (Dama Polo II)
2006,01,03,11,Buket Kulam
2007,01,03,11,Seuneubok Teungoh
2008,01,03,11,Jungka Gajah
2009,01,03,11,Seuneubok Simpang
2010,01,03,11,Matang Pineung
2011,01,03,11,Lhok Geulumpang
2012,01,03,11,Blang Buket
2013,01,03,11,Meunasah Keutapang
2014,01,03,11,Buket Rumia/Rumiya
2015,01,03,11,Alue Gadeng
2016,01,03,11,Kapai Baro
2017,01,03,11,Seuneubok Tuha Sa (Seuneubok Tuha I)
2018,01,03,11,Seuneubok Tuha Dua (Seuneubok Tuha II)
2019,01,03,11,Seuneubok Buloh
2020,01,03,11,Gaseh Sayang
2021,01,03,11,Alue Lhok (Alur Lhok)
2022,01,03,11,Trieng Gadeng
2023,01,03,11,Grong-Grong
2024,01,03,11,Matang Geuto (Matang Geutou)
2025,01,03,11,Alue Merbo (Alur Merbo)
2026,01,03,11,Buket Raya
2027,01,03,11,Gampong Keude (Kampung Keude)
2028,01,03,11,Peukan Idi Cut (Keude Idi Cut)
2029,01,03,11,Gampong Beunot (Kampung Beunot)
2030,01,03,11,Seuneubok Baroh
2031,01,03,11,Teupin Drum
2032,01,03,11,Kuala Idi Cut
2034,01,03,11,Seuneubok Aceh
2035,01,03,11,Gampong Baro (Kampung Baro)
2036,01,03,11,Bagok Panah Sa (Bagok Panah I)
2037,01,03,11,Bagok Panah Dua (Bagok Panah II)
2038,01,03,11,Bagok Panah Lhee (Bagok Panah III)
2039,01,03,11,Bagok Panah Peut (Bagok Panah IV)
2040,01,03,11,Buket Tualang
2041,01,03,11,Keumuneng Sa (Kemuning I)
2042,01,03,11,Keumuneng Dua (Kemuning II)
2043,01,03,11,Keumuneng Lhee (Kemuning III)
2044,01,03,11,Keumuneng Peut (Kemuning IV)
2045,01,03,11,Keumuneng Limong (Kemuning V)
2046,01,03,11,Meunasah Blang
2001,02,03,11,Blang Keumahang (Blang Keumuhang)
2002,02,03,11,Blang Jambee
2003,02,03,11,Keumuneng
2004,02,03,11,Ladang Baro
2005,02,03,11,Buket Panyang
